seminar,id
"A",1
"A",2
"C",3
"A",4
"B",5
"B",6
"C",7
"C",8
"C",9
"B",10
"A",11
"B",12
"B",13
"A",14
"B",15
"C",16
"B",17
"C",18
"C",19
"C",20
"C",21
"A",22
"C",23
"C",24
"B",25
"C",26
"A",27
"A",28
"C",29
"C",30
"A",31
"A",32
"A",33
"C",34
"B",35
"A",36
"C",37
"B",38
"C",39
"A",40
"A",41
"A",42
"B",43
"C",44
"C",45
"A",46
"C",47
"A",48
"B",49
"B",50
"A",51
"B",52
"A",53
"C",54
"B",55
"C",56
"B",57
"C",58
"B",59
"A",60
"C",61
"C",62
"B",63
"C",64
"C",65
"C",66
"B",67
"B",68
"B",69
"A",70
"B",71
"C",72
"B",73
"A",74
"A",75
"A",76
"A",77
"A",78
"B",79
"A",80
"B",81
"A",82
"B",83
"B",84
"C",85
"B",86
"A",87
"A",88
"C",89
"C",90
"A",91
"C",92
"B",93
"C",94
"B",95
"C",96
"C",97
"A",98
"A",99
"B",100
"A",101
"B",102
"C",103
"A",104
"A",105
"B",106
"B",107
"A",108
"B",109
"C",110
"B",111
"A",112
"C",113
"B",114
